File Path,Domain Tag,File Type,Data Shape,Channel Names,Number of Channels,Sampling Rate,Duration,Completeness Check
/gpfs/work/int/chengxuanqin21/science_works/EEGUnity_CI/bcic_iv_2a/A01E_raw.fif,bcic_iv_2a,standard_data,"(25, 687000)","Fz, FC3, FC1, FCz, FC2, FC4, C5, C3, C1, Cz, C2, C4, C6, CP3, CP1, CPz, CP2, CP4, P1, POz, Pz, P2, EOG-left, EOG-central, EOG-right",25,250.0,2747.996,Completed
/gpfs/work/int/chengxuanqin21/science_works/EEGUnity_CI/bcic_iv_2a/A01T_raw.fif,bcic_iv_2a,standard_data,"(25, 672528)","Fz, FC3, FC1, FCz, FC2, FC4, C5, C3, C1, Cz, C2, C4, C6, CP3, CP1, CPz, CP2, CP4, P1, POz, Pz, P2, EOG-left, EOG-central, EOG-right",25,250.0,2690.108,Completed
/gpfs/work/int/chengxuanqin21/science_works/EEGUnity_CI/bcic_iv_2a/A02E_raw.fif,bcic_iv_2a,standard_data,"(25, 662666)","Fz, FC3, FC1, FCz, FC2, FC4, C5, C3, C1, Cz, C2, C4, C6, CP3, CP1, CPz, CP2, CP4, P1, POz, Pz, P2, EOG-left, EOG-central, EOG-right",25,250.0,2650.66,Completed
/gpfs/work/int/chengxuanqin21/science_works/EEGUnity_CI/bcic_iv_2a/A02T_raw.fif,bcic_iv_2a,standard_data,"(25, 677169)","Fz, FC3, FC1, FCz, FC2, FC4, C5, C3, C1, Cz, C2, C4, C6, CP3, CP1, CPz, CP2, CP4, P1, POz, Pz, P2, EOG-left, EOG-central, EOG-right",25,250.0,2708.672,Completed
/gpfs/work/int/chengxuanqin21/science_works/EEGUnity_CI/bcic_iv_2a/A03E_raw.fif,bcic_iv_2a,standard_data,"(25, 648775)","Fz, FC3, FC1, FCz, FC2, FC4, C5, C3, C1, Cz, C2, C4, C6, CP3, CP1, CPz, CP2, CP4, P1, POz, Pz, P2, EOG-left, EOG-central, EOG-right",25,250.0,2595.096,Completed
/gpfs/work/int/chengxuanqin21/science_works/EEGUnity_CI/bcic_iv_2a/A03T_raw.fif,bcic_iv_2a,standard_data,"(25, 660530)","Fz, FC3, FC1, FCz, FC2, FC4, C5, C3, C1, Cz, C2, C4, C6, CP3, CP1, CPz, CP2, CP4, P1, POz, Pz, P2, EOG-left, EOG-central, EOG-right",25,250.0,2642.116,Completed
/gpfs/work/int/chengxuanqin21/science_works/EEGUnity_CI/bcic_iv_2a/A04E_raw.fif,bcic_iv_2a,standard_data,"(25, 660047)","Fz, FC3, FC1, FCz, FC2, FC4, C5, C3, C1, Cz, C2, C4, C6, CP3, CP1, CPz, CP2, CP4, P1, POz, Pz, P2, EOG-left, EOG-central, EOG-right",25,250.0,2640.184,Completed
/gpfs/work/int/chengxuanqin21/science_works/EEGUnity_CI/bcic_iv_2a/A04T_raw.fif,bcic_iv_2a,standard_data,"(25, 600915)","Fz, FC3, FC1, FCz, FC2, FC4, C5, C3, C1, Cz, C2, C4, C6, CP3, CP1, CPz, CP2, CP4, P1, POz, Pz, P2, EOG-left, EOG-central, EOG-right",25,250.0,2403.656,Completed
/gpfs/work/int/chengxuanqin21/science_works/EEGUnity_CI/bcic_iv_2a/A05E_raw.fif,bcic_iv_2a,standard_data,"(25, 679863)","Fz, FC3, FC1, FCz, FC2, FC4, C5, C3, C1, Cz, C2, C4, C6, CP3, CP1, CPz, CP2, CP4, P1, POz, Pz, P2, EOG-left, EOG-central, EOG-right",25,250.0,2719.448,Completed
/gpfs/work/int/chengxuanqin21/science_works/EEGUnity_CI/bcic_iv_2a/A05T_raw.fif,bcic_iv_2a,standard_data,"(25, 686120)","Fz, FC3, FC1, FCz, FC2, FC4, C5, C3, C1, Cz, C2, C4, C6, CP3, CP1, CPz, CP2, CP4, P1, POz, Pz, P2, EOG-left, EOG-central, EOG-right",25,250.0,2744.476,Completed
