File Path,Domain Tag,File Type,Data Shape,Channel Names,Number of Channels,Sampling Rate,Duration,Completeness Check
../raweeg/physionet_capslpdb/rbd22.edf,physionet_capslpdb,standard_data,"(20, 18109440)","EEGDual:ROC-LOC, EEGDual:Fp2-F4, EEGDual:F4-C4, EEGDual:C4-P4, EEGDual:P4-O2, EEGDual:1-F3, EEGDual:F3-C3, EEGDual:C3-P3, EEGDual:P3-O1, EEGDual:C4-A1, EEGDual:EMG1-EMG2, ECG:1-2, EEGDual:DX1-DX2, EEGDual:SX1-SX2, EEGDual:F8-T4, EEGDual:F7-T3, Unknown:SAO2, Unknown:HR, Unknown:PLETH, Unknown:STAT",20,512.0,35369.998046875,Completed
../raweeg/physionet_capslpdb/narco3.edf,physionet_capslpdb,standard_data,"(10, 23578112)","EEGDual:ROC-LOC, EEGDual:Fp2-F4, EEGDual:F4-C4, EEGDual:C4-P4, EEGDual:P4-O2, EEGDual:C4-A1, EEGDual:EMG1-EMG2, ECG:1-2, EEGDual:DX1-DX2, EEGDual:SX1-SX2",10,512.0,46050.998046875,Completed
../raweeg/physionet_capslpdb/nfle33.edf,physionet_capslpdb,standard_data,"(36, 15897600)","Unknown:Position, Unknown:DX1, Unknown:DX2, Unknown:MIC, EEG:C3, EEG:C4, ECG:1, ECG:2, EEG:A1, EEG:A2, Unknown:ROC, Unknown:LOC, EEG:O1, EEG:O2, Unknown:EMG1, Unknown:EMG2, EEG:Fp2, EEG:F4, EEG:P4, Unknown:1, EEG:F3, EEG:P3, EEG:F8, EEG:T4, EEG:T6, EEG:F7, EEG:T5, EEG:T3, Unknown:SX1, Unknown:SX2, Unknown:TORACE, Unknown:ADDOME, Unknown:STAT, Unknown:HR, Unknown:SAO2, Unknown:PLETH",36,512.0,31049.998046875,Completed
../raweeg/physionet_capslpdb/ins2.edf,physionet_capslpdb,standard_data,"(14, 25728000)","EEGDual:Fp2-F4, EEGDual:F4-C4, EEGDual:C4-P4, EEGDual:P4-O2, EEGDual:C4-A1, EEGDual:ROC-LOC, EEGDual:EMG1-EMG2, ECG:1-2, EEGDual:DX1-DX2, EEGDual:SX1-SX2, Unknown:SAO2, Unknown:HR, Unknown:PLETH, Unknown:STAT",14,512.0,50249.998046875,Completed
../raweeg/physionet_capslpdb/nfle10.edf,physionet_capslpdb,standard_data,"(22, 7541760)","EEGDual:2-F4, EEGDual:F4-C4, EEGDual:C4-P4, EEGDual:P4-O2, EEGDual:F8-T4, EEGDual:T4-T6, EEGDual:1-F3, EEGDual:F3-C3, EEGDual:C3-P3, EEGDual:P3-O1, EEGDual:F7-T3, EEGDual:T3-T5, EEGDual:C4-A1, EEGDual:ROC-LOC, EEGDual:EMG1-EMG2, ECG:1-2, EEGDual:DX1-DX2, EEGDual:SX1-SX2, Unknown:SAO2, Unknown:HR, Unknown:Pleth, Unknown:OxStatus",22,256.0,29459.99609375,Completed
../raweeg/physionet_capslpdb/n12.edf,physionet_capslpdb,standard_data,"(9, 2970000)","Unknown:LOC/A2, Unknown:ROC/A1, EEGDual:CHIN-0, EEGDual:CHIN-1, EEGDual:C3-A2, EEGDual:C4-A1, EEGDual:O1-A2, EEGDual:O2-A1, Unknown:EKG",9,100.0,29699.99,Completed
../raweeg/physionet_capslpdb/plm2.edf,physionet_capslpdb,standard_data,"(18, 13870080)","EEGDual:Fp2-F4, EEGDual:F4-C4, EEGDual:C4-P4, EEGDual:P4-O2, EEGDual:1-F3, EEGDual:F3-C3, EEGDual:C3-P3, EEGDual:P3-O1, EEGDual:C4-A1, EEGDual:ROC-LOC, EEGDual:EMG1-EMG2, ECG:1-2, EEGDual:DX1-DX2, EEGDual:SX1-SX2, Unknown:SAO2, Unknown:HR, Unknown:PLETH, Unknown:STAT",18,512.0,27089.998046875,Completed
../raweeg/physionet_capslpdb/rbd6.edf,physionet_capslpdb,standard_data,"(16, 27955200)","EEGDual:ROC-LOC, EEGDual:LOC-ROC, EEGDual:F2-F4, EEGDual:F4-C4, EEGDual:C4-P4, EEGDual:P4-O2, EEGDual:C4-A1, EEGDual:EMG1-EMG2, ECG:1-2, Unknown:TERMISTO, Unknown:TORACE, Unknown:ADDOME, EEGDual:Dx1-DX2, EEGDual:SX1-SX2, Unknown:HR, Unknown:SpO2",16,512.0,54599.998046875,Completed
../raweeg/physionet_capslpdb/nfle36.edf,physionet_capslpdb,standard_data,"(22, 17019392)","EEGDual:Fp2-F4, EEGDual:F4-C4, EEGDual:C4-P4, EEGDual:P4-O2, EEGDual:F8-T4, EEGDual:T4-T6, EEGDual:1-F3, EEGDual:F3-C3, EEGDual:C3-P3, EEGDual:P3-O1, EEGDual:F7-T3, EEGDual:T3-T5, EEGDual:C4-A1, EEGDual:ROC-LOC, EEGDual:EMG1-EMG2, ECG:1-2, EEGDual:DX1-DX2, EEGDual:SX1-SX2, Unknown:SAO2, Unknown:HR, Unknown:PLETH, Unknown:STAT",22,512.0,33240.998046875,Completed
../raweeg/physionet_capslpdb/n3.edf,physionet_capslpdb,standard_data,"(23, 16927232)","EEGDual:Fp2-F4, EEGDual:F4-C4, EEGDual:C4-P4, EEGDual:P4-O2, EEGDual:F8-T4, EEGDual:T4-T6, EEGDual:1-F3, EEGDual:F3-C3, EEGDual:C3-P3, EEGDual:P3-O1, EEGDual:F7-T3, EEGDual:T3-T5, EEGDual:C4-A1, EEGDual:ROC-LOC, EEGDual:EMG1-EMG2, ECG:1-2, EEGDual:DX1-DX2, EEGDual:SX1-SX2, Unknown:SAO2, Unknown:HR, Unknown:PLETH, Unknown:STAT, Unknown:MIC",23,512.0,33060.998046875,Completed
